Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Mark
卧槽,2,53,8.3,2.829,2.905,20,0.099,1
保护,2,105,7.1,3.908,3.737,20,0.085,0
政哥政哥,4,96,4.5,2.099,2.169,20,0.064,-1
耐克打钱,4,58,5.2,3.403,3.21,20,0.051,-1
牛逼,2,82,5.9,4.235,4.471,20,0.016,1
厚葬,2,3685,4,4.891,2.492,19,17.655,-1
郭敬明,3,1017,4.9,2.507,5.655,19,8.868,-1
注入灵魂,4,852,4.9,5.975,5.799,19,7.219,1
再来亿遍,4,613,4.6,4.963,4.715,19,4.661,1
全体起立,4,286,6,3.052,3.325,19,1.225,1
牛逼,2,240,5.9,5.057,5.251,19,0.882,1
卧槽,2,172,5,4.74,4.907,19,0.826,1
好听,2,334,5,5.626,5.774,19,0.815,0
刘秀,2,292,4.5,2.714,3.948,19,0.557,-1
肖战必糊,4,722,4.7,2.571,2.605,19,0.516,-1
讲究,2,111,6,4.17,5.135,19,0.421,0
giao,4,96,4.9,3.726,3.731,19,0.409,1
人才,2,71,4.8,4.02,3.903,19,0.408,0
神秘客,3,170,6,5.624,5.389,19,0.268,-1
害怕害怕,4,107,5.5,2.331,2.14,19,0.195,-1
鬼切鬼切,4,157,4.9,2.484,2.832,19,0.193,1
牛逼,2,56,5.6,3.419,3.323,19,0.19,1
啊啊啊,3,532,4.3,2.322,2.265,19,0.155,-1
nb,2,80,4.3,3.347,3.351,19,0.143,1
自由,2,74,6.8,3.28,2.674,19,0.116,0
三连三连,4,59,5.8,2.241,2.321,19,0.074,-1
众神归位,4,811,5.4,5.623,5.976,18,3.599,1
恐惧,2,284,5.6,3.734,4.596,18,1.537,0
上头,2,930,4.6,5.835,4.852,18,1.215,0
保护,2,87,5.3,3.631,3.243,18,0.864,0
兵长,2,178,5.6,3.247,3.03,18,0.811,-1
卧槽,2,96,5.2,4.648,4.44,18,0.747,1
尻比,2,129,7,3.819,3.352,18,0.585,-1
火钳刘明,4,69,5.3,3.433,3.805,18,0.571,1
闹太套,3,158,6.3,4.344,4.479,18,0.525,1
鸡你太美,4,102,6.2,3.212,3.413,18,0.491,1
灵魂注入,4,185,4.9,2.632,2.433,18,0.412,1
前方高能,4,233,4.6,4.144,3.917,18,0.395,1
牛逼,2,93,5,4.251,4.1,18,0.332,1
超越,2,71,6.8,2.437,4.147,18,0.28,0
牛逼,2,52,4.6,3.612,3.55,18,0.208,1
前方高能,4,57,5.8,3.684,3.665,18,0.182,1
哈哈,2,194,6.2,2.157,2.128,18,0.179,0
大裙子,3,33,4.2,2.529,2.529,18,0.081,-1
好丑,2,31,4.2,2.226,2.157,18,0.063,-1
泪目泪目,4,195,5.4,2.184,2.345,18,0.06,-1
原声大碟,4,65,5.3,3.779,3.936,18,0.057,1
牛逼,2,1298,5.3,4.769,4.696,17,9.67,1
快乐,2,1130,5.6,5.454,5.296,17,5.702,0
玉藻前,3,708,5,3.485,4.464,17,3.31,1
好听,2,283,4.4,5.209,5.523,17,1.992,0
坤坤,2,261,4.2,4.51,4.175,17,1.272,1
泪目,2,138,5.6,4.62,4.683,17,1.121,1
火钳刘明,4,114,4.8,4.551,4.822,17,1.055,1
魔鬼,2,196,6,4.004,4.717,17,0.994,0
好活,2,147,4.1,4.321,3.967,17,0.691,-1
哈哈哈,3,398,4.2,2.367,2.258,17,0.683,-1
社会,2,142,5.9,3.847,3.813,17,0.558,0
口也,2,99,5.7,3.349,3.082,17,0.335,-1
nb,2,50,4,2.63,3.217,17,0.235,1
奥利给,3,158,6.4,4.331,4.318,17,0.184,1
706楼,4,37,5.3,2.91,3.169,17,0.119,-1
自由,2,37,5.8,2.811,2.039,17,0.104,0
科比,2,33,6.7,2.923,3.044,17,0.07,-1
救命,2,28,7.6,2.111,2.036,17,0.047,0
土块,2,762,4.3,4.984,4.679,16,5.842,1
lbwnb,5,458,5.3,2.764,2.855,16,2.33,-1
妙啊,2,271,4.2,4.9,5.015,16,2.189,-1
伞兵,2,81,5.9,2.195,2.236,16,1.9,-1
泪目,2,235,7.3,4.205,4.206,16,1.338,1
卧槽,2,245,6.2,5.218,4.621,16,1.248,1
赢了,2,152,4.3,4.342,4.664,16,1.226,-1
章鱼哥,3,439,5.9,5.603,5.503,16,1.091,1
卢天使,3,383,4.3,5.007,5.139,16,0.95,1
火钳刘明,4,93,5.1,4.038,4.054,16,0.804,1
parn,4,44,4.1,2.36,2.292,16,0.553,-1
牛壁,2,327,5,2.533,4.385,16,0.455,1
恰蛋,2,77,7.1,3.514,2.438,16,0.326,-1
好听,2,85,5.3,4.791,4.836,16,0.265,0
发发,2,132,4.2,2.491,2.685,16,0.219,-1
卧槽,2,97,6.1,4.214,4.232,16,0.154,1
前方高能,4,56,6.6,2.524,2.681,16,0.141,1
不敢不敢,4,61,4.7,2.283,2.518,16,0.114,-1
霍去病,3,56,7.3,3.153,3.397,16,0.114,-1
nb,2,77,5.3,4.209,4.287,16,0.08,1
ing,3,41,5.3,2.609,3.501,16,0.076,-1
弹幕,2,292,5.8,5.797,6.351,16,0.076,1
开花,2,36,5.7,2.974,2.918,16,0.074,0
nb,2,36,5.5,2.651,2.654,16,0.059,1
尻比,2,31,6.7,2.999,2.999,16,0.049,-1
坚强,2,25,6.5,2.11,2.3,16,0.035,0
合影,2,404,5.9,4.081,4.63,15,2.798,1
牛逼,2,332,4.2,4.817,4.23,15,2.607,1
要素过多,4,401,4.4,5.658,5.751,15,2.065,1
弹幕护体,4,297,5.5,3.303,3.557,15,1.983,1
卡路里,3,214,5.6,4.006,4.706,15,1.368,-1
口区,2,304,4.6,4.885,4.774,15,1.201,-1
火钳刘明,4,292,4.1,6.121,6.084,15,1.053,1
0,2,178,5.1,2.47,4.208,15,1.028,-1
火钳刘明,4,185,6.6,5.371,5.427,15,0.788,1
泪目,2,62,5.4,3.88,3.698,15,0.727,1
泪目,2,119,6.2,4.138,4.301,15,0.654,1
真香,2,126,4.2,3.046,3.301,15,0.645,1
金坷垃,3,166,5.8,4.425,4.45,15,0.508,1
牛逼,2,54,6.1,3.43,3.384,15,0.303,1
律师函,3,56,10.2,3.338,2.195,15,0.283,1
带劲,2,50,6.1,3.553,4.069,15,0.258,1
牛逼,2,44,5.7,3.344,3.59,15,0.242,1
阿巴阿巴,4,315,5.4,3.242,2.964,15,0.172,1
感动,2,33,6.1,2.884,3.087,15,0.134,0
米古月,3,59,7.3,2.523,2.756,15,0.127,1
泪目,2,47,5.8,3.495,3.629,15,0.111,1
彳亍,2,392,5,4.693,4.723,14,2.792,1
离谱,2,422,4.7,4.033,4.756,14,2.58,1
欢迎回来,4,331,7.3,3.83,3.757,14,2.3,1
哒宰,2,174,5,4.525,4.387,14,1.34,1
125,3,139,4.3,5.211,4.507,14,1.168,-1
牛批,2,292,4.5,5.374,5.457,14,1.088,1
前方高能,4,138,6,4.1,3.655,14,0.955,1
我擦,2,184,4.7,2.856,2.504,14,0.835,-1
前方高能,4,214,5.8,4.814,4.263,14,0.616,1
笑笑,2,101,8.1,4.15,4.105,14,0.575,0
前方高能,4,78,6,4.099,4.117,14,0.364,1
卡路里,3,150,6.5,3.796,4.645,14,0.331,-1
lbwnb,5,49,4.2,2.375,2.466,14,0.302,-1
nb,2,61,4.9,3.589,3.346,14,0.262,1
好听好听,4,103,5.2,3.577,3.418,14,0.218,1
哈哈哈,3,175,5,2.052,2.072,14,0.187,-1
留名,2,33,5.6,2.656,3.187,14,0.179,1
牛逼牛逼,4,57,5.6,2.364,2.329,14,0.179,-1
反弹,2,32,6.7,2.671,3.184,14,0.17,1
牛批,2,37,5.9,3.355,2.986,14,0.141,1
啊啊啊啊,4,394,4.3,2.085,2.088,14,0.107,-1
丞相,2,38,7.4,3.607,3.519,14,0.091,1
哭了哭了,4,68,4.4,2.81,3.249,14,0.091,-1
万岁,2,42,5.8,2.626,3.207,14,0.078,0
xx,2,41,5.3,2.11,2.062,14,0.071,-1
弹幕护体,4,38,6.3,2.258,2.361,14,0.071,1
猫王猫王,4,78,4,2.016,3.484,14,0.032,-1
盖亚盖亚,4,96,5.7,3.19,3.163,14,0.002,1
卢本伟牛逼,5,3838,4.6,2.156,2.055,13,21.375,-1
辍学,2,566,4.1,4.441,2.265,13,7.046,-1
泪目,2,375,4.8,5.63,5.918,13,1.644,1
猝不及防,4,714,4.2,6.399,6.262,13,1.441,1
蕉迟但到,4,156,5.7,3.64,3.247,13,0.852,1
哲学,2,246,6.4,4.998,4.99,13,0.682,0
喵喵喵,3,859,4.8,2.013,2.096,13,0.635,1
逮虾户,3,114,4.6,2.702,2.721,13,0.591,1
乌拉,2,62,6.1,3.027,3.103,13,0.444,1
nb,2,101,4.3,4.158,4.071,13,0.436,1
再见,2,93,4.9,4.196,4.742,13,0.432,0
我们不一样,5,127,4.3,4.605,4.263,13,0.424,-1
牛逼,2,87,6,5.099,4.92,13,0.398,1
nb,2,125,4.6,3.708,4.242,13,0.34,1
哈哈,2,157,5.3,2.11,2.186,13,0.326,0
欢迎,2,32,6,2.688,2.726,13,0.258,0
卧槽,2,224,6.5,4.9,5.138,13,0.238,1
来了来了,4,75,4.7,3.354,3.403,13,0.161,-1
护眼,2,24,4.5,2.197,2.197,13,0.094,-1
魔鬼魔鬼,4,56,4.5,2.607,2.388,13,0.094,-1
彳亍,2,39,8.2,2.959,2.818,13,0.09,1
第一,2,37,4.1,3.625,3.519,13,0.083,0
上香,2,28,6.4,2.662,2.761,13,0.061,1
生日快乐,4,476,8.2,3.482,3.203,12,3.433,1
前方高能,4,312,6.2,4.132,3.843,12,2.549,1
卧槽,2,297,5,5.056,5.105,12,2.462,1
魔鬼,2,140,5.7,4.857,5.156,12,1.396,0
卧槽,2,186,6.3,3.414,3.968,12,1.345,1
卢本伟牛逼,5,863,5.2,4.191,4.004,12,1.184,-1
漂亮,2,120,8.1,4.143,4.305,12,0.989,0
离谱,2,129,5.1,4.092,5.318,12,0.715,1
带劲,2,148,5.5,2.392,4.293,12,0.602,1
厉害,2,143,5.8,5.332,4.153,12,0.56,0
skr,3,154,4.9,3.5,3.524,12,0.503,1
free,4,116,5.3,3.823,2.17,12,0.486,-1
前方高能,4,176,6,4.357,4.065,12,0.442,1
呵呵,2,133,5.8,2.935,2.151,12,0.432,1
卧槽,2,167,7,4.887,5.087,12,0.432,1
全图鉴,3,72,7.3,3.461,3.832,12,0.305,-1
意料之中,4,50,5.2,4.157,3.907,12,0.289,-1
厉害,2,73,6.6,4.159,3.194,12,0.253,0
害怕,2,82,6.5,3.109,3.304,12,0.249,0
三连,2,37,7.3,3.064,3.353,12,0.245,1
cxk,3,40,5.1,3.914,3.671,12,0.244,1
干得漂亮,4,42,5.3,2.24,2.145,12,0.234,1
鬼畜,2,50,6.5,4.38,4.137,12,0.181,1
诸神之战,4,48,5.9,4.324,4.427,12,0.171,1
开花开花,4,105,4.2,2.572,2.712,12,0.167,1
中美合拍,4,35,5.5,2.431,2.208,12,0.147,1
投币,2,28,6.1,3.109,3.377,12,0.143,1
哈哈哈,3,141,6.2,2.169,2.11,12,0.127,-1
活该,2,66,6.3,2.339,2.293,12,0.118,-1
0,2,54,5,2.003,2.656,12,0.11,-1
牛逼,2,33,6.7,3.438,3.271,12,0.08,1
牛顿复活,4,27,4.5,3.049,2.743,12,0.033,-1
蕾姆蕾姆,4,62,5.9,2.06,2.555,12,0.009,-1
自由,2,37,6.9,3.747,2.827,12,0.007,0
别撸啦,3,391,4.3,4.553,4.466,11,3.132,-1
爪巴,2,142,4.2,4.609,4.795,11,2.723,1
火钳刘明,4,308,4.3,5.338,5.302,11,2.504,1
泪目,2,604,5.1,5.417,5.549,11,2.112,1
0,2,298,4.6,2.535,2.754,11,1.321,-1
彳亍,2,71,4.6,4.02,4.66,11,0.884,1
蕾姆,2,199,5.4,3.344,3.612,11,0.793,1
nb,2,75,4.9,2.994,3.178,11,0.612,1
牛逼,2,87,6,4.443,4.048,11,0.575,1
van,3,68,4.9,3.79,4.124,11,0.509,1
rip,3,129,4.6,4.631,4.191,11,0.488,1
笑死我了,4,63,4.2,3.406,3.206,11,0.457,-1
面筋,2,120,6.6,4.128,3.815,11,0.429,1
维度战记,4,62,5.8,3.471,3.818,11,0.396,-1
来了,2,74,4,4.178,4.162,11,0.382,-1
开口跪,3,83,5.7,4.292,4.513,11,0.371,1
牛逼,2,58,6.1,3.37,3.343,11,0.349,1
skr,3,143,4.9,4.96,5.048,11,0.253,1
鸡你太美,4,42,5.2,3.994,3.812,11,0.248,1
skr,3,95,5.1,3.436,3.236,11,0.231,1
太宰治,3,58,5.3,2.324,2.106,11,0.226,1
哲学,2,53,7.6,4.374,4.036,11,0.199,0
nb,2,37,5.8,2.533,2.952,11,0.198,1
全体起立,4,146,6.1,4.639,4.926,11,0.161,1
彳亍,2,22,7.9,2.859,2.642,11,0.148,1
上香,2,24,6,2.919,2.919,11,0.143,1
前方高能,4,32,6.5,3.134,3.299,11,0.141,1
wc,2,34,4.1,3.129,3.187,11,0.128,-1
up,2,27,5.6,3.228,2.289,11,0.12,1
嘿嘿,2,80,7.3,2.027,2.068,11,0.083,0
牛逼牛逼,4,51,4.3,2.654,2.575,11,0.071,-1
卧槽,2,36,7.1,2.476,2.552,11,0.031,1
火钳刘明,4,588,4.6,5.443,4.987,10,4.756,1
火钳刘明,4,1009,4.6,5.482,5.513,10,4.626,1
公屏,2,405,5.4,2.817,2.553,10,3.147,1
渣渣卢本伟,5,536,4.6,2.139,2.181,10,2,-1
泪目,2,520,5,4.868,5.215,10,1.747,1
泪目,2,342,6,5.371,5.349,10,1.498,1
火钳刘明,4,122,4.7,3.994,4.119,10,1.3,1
好听,2,238,4.2,5.928,6.044,10,1.261,0
公车私用,4,314,5.2,4.689,4.843,10,1.134,-1
前方高能,4,257,5.7,4.589,4.378,10,0.897,1
越来越离谱,5,168,4.9,3.901,3.581,10,0.788,-1
do,2,255,4.2,2.933,2.06,10,0.783,-1
秀秀,2,194,4.3,2.846,2.825,10,0.747,1
堂主,2,94,4.7,4.926,5.212,10,0.706,-1
嬴政,2,216,4.7,5.359,5.807,10,0.678,1
越来越离谱,5,119,4.7,3.589,3.815,10,0.667,-1
可以,2,85,6.7,4.66,4.434,10,0.57,0
前方高能,4,193,5.6,4.229,3.61,10,0.542,1
nb,2,83,4.8,3.627,3.791,10,0.541,1
china,5,52,5.3,4.006,3.874,10,0.506,-1
牛批,2,57,6.1,3.7,3.807,10,0.488,1
彩蛋,2,142,4.3,4.548,4.695,10,0.478,1
猥琐吃鸡,4,99,5.9,3.114,3.025,10,0.474,-1
很多很多,4,128,5.9,3.719,3.749,10,0.467,1
牛逼,2,66,5.3,4.15,3.905,10,0.467,1
烤面筋,3,130,6.2,3.392,3.435,10,0.379,1
卧槽,2,47,7.5,3.651,3.034,10,0.366,1
好听,2,54,6.3,3.76,4.13,10,0.358,0
智乃,2,70,6.4,3.108,2.558,10,0.358,-1
猪猪,2,82,5,2.576,2.43,10,0.34,1
没有,2,78,4.9,4.722,4.269,10,0.322,0
牛逼,2,34,6,3.52,3.226,10,0.29,1
uu,2,64,4.1,3.91,3.041,10,0.274,-1
nb,2,63,4.8,2.891,3.025,10,0.269,1
妙啊妙啊,4,211,4.6,3.168,3.412,10,0.243,-1
牛逼,2,223,5.6,5.261,5.102,10,0.229,1
nb,2,52,4.8,3.122,2.946,10,0.214,1
呵呵,2,69,7.3,2.375,2.413,10,0.2,1
nb,2,33,4.8,3.126,2.662,10,0.196,1
试图混入,4,32,9,2.586,2.154,10,0.192,-1
66,2,137,4.7,2.071,2.088,10,0.176,1
嘤嘤嘤,3,56,7.1,2.126,2.018,10,0.175,-1
呵呵,2,78,5.4,2.561,2.085,10,0.173,1
牛皮,2,28,5.4,3.234,3.02,10,0.158,0
前方高能,4,43,6.2,3.401,3.216,10,0.149,1
无敌,2,30,5.7,3.236,3.306,10,0.127,1
哈哈,2,296,4,2.374,2.305,10,0.116,0
前方睾能,4,43,5.7,3.142,3.049,10,0.099,-1
