W,Frequence,Mut,Freedom_L,Freedom_R,mark
彳亍不彳亍,349,17,2.898,2.719,1
彳于,461,8,2.832,2.416,1
赤井秀一,310,12.9,3.87,3.506,1
冲鸭,2949,7,4.094,5.292,1
充电宝,300,7.6,4.194,3.869,1
瞅瞅,335,10.1,2.469,2.496,1
臭弟弟,497,10,4.263,5.031,1
出必还愿,3473,7.2,5.077,4.313,1
初音未来,828,10.3,3.664,3.302,1
除非忍不住,335,10.1,2.039,4.555,1
厨狂喜,1197,9.1,2.256,4.944,1
处处吻,283,10.1,3.978,4.516,1
处女币,1373,8.9,3.823,3.239,1
处女屏,259,7.2,3.778,3.35,1
处刑曲,1208,13.7,3.989,4.465,1
川建国,6457,12.5,2.022,4.74,1
穿越火线,469,6.3,4.789,4.845,1
传世经典,767,9.4,4.598,5.535,1
创造奇迹,737,13.2,3.075,3.885,1
吹爆,19561,7.2,4.71,3.929,1
锤爆,792,5.6,4.325,3.138,1
锤石,952,8.4,3.82,4.798,1
春季赛,677,12.3,4.571,4.345,1
春日野穹,635,9.2,3.743,3.581,1
纯路人,326,7.1,3.982,4.084,1
茨木,437,7,2.757,3.766,1
此生不悔入,1410,7.1,4.696,2.158,0
此生无悔二次元,1848,16.4,3.977,4.808,0
刺激战场,320,11.8,4.013,4.384,1
刺客信条,667,10.8,5.063,5.126,1
粗鄙之语,3806,17.9,5.135,5.539,1
猝死在意大利,403,16.3,2.477,2.585,0
催更,4682,7.9,2.622,2.775,1
摧毁停车场,4168,15,3.211,5.663,0
存活确认,684,9.6,3.649,3.153,1
措不及防,1352,9.8,2.603,3.248,1
妲己,1970,9.8,3.142,6.025,1
打call,3714,5.3,6.015,5.616,1
打到公屏上,270,6.3,2.555,3.324,0
打排位,610,5.7,4.126,5.344,1
打野刀,581,6.1,4.787,5.256,1
打职业,1001,10.1,4.147,4.288,1
大鹌鹑,298,11.8,4.164,5.263,1
大宝贝,704,5.8,3.154,5.236,1
大虫子,791,6.4,4.722,6.059,1
大法好,1267,6.4,5.22,4.836,1
大橘已定,955,8,3.827,5.023,1
大佬们,443,5.8,4.116,4.639,1
大师兄,1512,6.2,4.278,5.97,1
大碗宽面,317,5.4,3.185,4.083,1
大威天龙,5228,9.5,4.66,4.463,1
大乌龟,453,6.1,4.583,5.539,1
大制作,5964,10.3,4.133,4.751,1
逮虾户,4765,11.6,5.45,2.552,1
带节奏,1139,9.6,4.38,4.326,1
带善人,266,7.1,2.951,3.745,1
带制作,6676,11.4,4.288,4.843,1
单身狗,1716,9.7,4.135,4.351,1
淡黄的长裙,1095,19.9,3.843,3.079,0
弹幕高能,1183,11.3,2.958,3.732,0
弹幕合影,3134,12.3,2.855,5.327,0
弹幕护体,15585,13.9,5.553,6.223,0
弹幕护眼,1373,11.5,4.113,4.679,0
弹幕君,319,10,3.082,3.032,1
弹幕礼仪,1919,11.8,4.948,5.282,0
弹丸论破,532,8.4,4.743,4.595,0
蛋黄的长裙,272,15.4,2.811,2.993,0
蛋疼,258,6.8,2.983,3.71,1
当场去世,2929,8.8,4.136,5.874,0
刀剑神域,1791,6,5.557,5.894,1
盗视频,271,10.2,3.52,2.996,0
德国boy,297,7.2,3.14,3.218,0
德国骨科,307,7.2,3.789,3.868,1
德莱联盟,459,7.7,2.156,5.034,1
德莱文,2264,9.3,4.26,6.4,1
德丽莎,757,7.4,3.668,4.146,1
德玛西亚,5127,10.3,4.541,6.132,1
低端局,545,9.8,4.812,4.147,1
低分段,259,6,4.84,4.955,1
滴滴滴,298,7.2,3.693,3.916,1
狄大人,430,5.4,4.425,4.585,1
迪达拉,290,8.2,2.983,4.312,1
迪亚波罗,577,9.4,3.11,3.926,1
第n遍,408,8.5,3.202,2.345,0
第几集,348,7.7,2.792,2.351,0
第三把,481,5.1,4.906,5.685,0
第三炸弹,599,5.4,3.427,2.261,0
第五人格,695,7.2,4.658,3.678,1
第一视角,3743,6.7,5.375,6.632,1
蒂花之秀,682,9.3,2.818,4.01,1
巅峰赛,612,14.3,4.326,4.384,1
点踩,342,5.4,3.244,3.976,1
电竞,922,8.4,4.447,3.712,1
电满了,408,7.3,2.388,4.43,1
电眼逼人,311,6.5,4.147,4.246,1
电子烟,479,6.4,4.994,4.631,1
弔人,3108,5.3,5.386,2.719,1
弔图,1584,8,5.514,3.669,1
掉帧,503,6.9,4.426,3.604,1
爹妈白养,422,5.7,2.419,4.676,1
钉钉,9106,7.7,3.534,3.153,1
顶风作案,2920,9.3,4.662,4.819,1
东北人,408,10.4,4.561,4.331,1
东皇太一,458,9.1,2.032,3.495,1
动次打次,426,7.1,2.916,3.445,1
动漫高手,327,8.7,2.939,4.054,1
抖腿,1581,8.3,3.478,4.497,1
抖音已盗,550,10.1,2.219,3.79,1
逗比,367,6,5.094,4.155,1
毒公子,324,10.5,2.3,4.807,1
毒硬币,329,7.7,3.889,5.305,1
断句鬼才,337,9.5,4.423,4.613,1
盾山,441,8.1,3.505,3.262,1
厄斐琉斯,575,13.5,4.896,4.677,1
厄加特,3457,8.9,5.654,5.893,1
厄运退散,2481,13.4,3.499,4.484,1
厄运走开,1694,13,2.892,4.297,1
恶鬼缠身,34894,11.8,4.784,6.13,1
恶魔低语,655,8.9,4.443,5.211,1
恶魔人,1069,9.4,5.015,4.839,1
恶心狗贼,451,6.7,4.871,4.008,1
儿童邪典,2335,12.3,4.713,5.376,1
儿童鞋垫,2882,12.5,5.08,5.387,1
耳机党,4633,12.4,5.398,3.235,1
二倍速,3045,6.5,4.506,5.084,0
二技能,2888,11,5.022,6.45,0
二仙桥,331,5.5,3.35,2.974,0
二营长,981,10.3,4.059,3.642,0
番茄大灌篮,1013,15.6,3.006,3.117,1
凡凡,263,8.5,3.171,2.681,1
反弹永久,9241,11,3.73,2.281,1
反复横跳,1311,8.6,4.919,5.185,1
反复去世,639,10.5,3.843,4.488,1
反击风暴,841,10.6,3.845,4.994,1
饭圈,604,8.5,4.085,5.206,1
方思明,378,9.7,2.27,3.43,1
方天画戟,361,6.4,2.882,3.988,1
防御塔,1900,10.6,6.033,4.75,1
防止抑郁,2398,12.4,2.447,5.398,0
放假君,608,6.5,3.635,2.587,1
