Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,Bvid,Tname,View,Like,Danmaku,Reply,Coin,Share,Favorite,Length,Mark
拍桌子x,4,20,6.6,3.284,2.522,1,0.244,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,-1
拓海,2,19,6.3,4.143,3.532,1,0.034,BV1Jt411r7yv,鬼畜调教,1735236,57209,10468,2474,70747,50549,42020,556,-1
拖孩,2,71,5.7,5.31,5.049,1,0.128,BV1Jt411r7yv,鬼畜调教,1735236,57209,10468,2474,70747,50549,42020,556,-1
拖鞋,2,43,5.8,4.831,4.293,1,0.077,BV1Jt411r7yv,鬼畜调教,1735236,57209,10468,2474,70747,50549,42020,556,-1
拜见,2,46,5.7,4.882,4.235,1,0.174,BV1T4411f7yB,人力VOCALOID,3456514,142890,19232,6682,122239,10919,111403,264,-1
挂壁,2,62,5.4,3.744,4.599,5,0.317,BV15W411i7dR,人力VOCALOID,2384323,33262,10365,4185,70770,21261,55689,164,-1
挑战,2,40,7,2.017,3.736,1,0.494,BV1qs411b7zX,鬼畜调教,1306077,21374,7606,1398,19456,3612,26616,81,0
挺像,2,34,5.3,2.062,3.804,1,0.06,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,-1
捂着鞭,3,16,6.2,3.375,3.453,1,0.103,BV17y4y1k7cf,鬼畜剧场,9080936,524329,20484,7778,411321,296994,258458,156,-1
捏嘿嘿,3,19,6.8,3.892,3.116,1,0.021,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,-1
捏脸,2,27,6.3,3.986,2.575,2,0.046,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,-1
捣蛋,2,63,7.2,3.007,2.811,4,0.053,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,-1
捶桌子,3,29,5.7,3.529,2.493,1,0.354,BV16E411g7Wp,鬼畜调教,14094497,935818,26819,6148,287875,80501,367484,82,-1
掌门,2,88,6.1,4.362,4.873,2,0.558,BV17y4y1k7cf,鬼畜剧场,9080936,524329,20484,7778,411321,296994,258458,156,1
排面,2,162,6.7,4.074,5.108,4,0.24,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,1
排骨,2,20,6.7,3.784,3.984,1,0.061,BV1NW411m7Jg,鬼畜调教,1067686,39382,3846,2393,50953,12277,24482,329,-1
接受挑战,4,21,6.9,3.726,3.404,1,0.259,BV1qs411b7zX,鬼畜调教,1306077,21374,7606,1398,19456,3612,26616,81,1
推荐,2,30,7.5,4.165,2.083,1,0.063,BV1Hs411N7BJ,鬼畜调教,1373958,49492,9791,1208,45094,29635,38983,478,0
措不及防,4,29,6.3,3.809,4.294,1,0.033,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,1
提米,2,16,6.9,3.274,3.64,1,0.178,BV16k4y197aT,鬼畜调教,1531537,105585,3296,1876,68133,11761,49720,90,-1
握草,2,19,7.3,2.564,2.564,7,0.019,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,1
握草,2,23,6.9,3.427,3.671,1,0.125,BV1Ua4y1v7up,人力VOCALOID,3008250,164276,9709,6745,38989,32884,28114,184,1
握草,2,32,8.5,3.499,3.812,8,0.038,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,1
搞笑,2,43,5.4,3.072,3.182,1,0.049,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,-1
搴旇,2,19,7.5,3.827,2.245,1,0.087,BV1js411P797,鎼炵瑧,3004258,65579,11873,11100,30828,25648,11850,219,0
搴曚笅,2,22,5.2,3.789,3.261,1,0.087,BV1i7411A7yk,MMD路3D,3579963,160744,33254,19310,51097,86031,51423,253,0
摄魂怪,3,59,7.2,4.833,5.056,1,0.067,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,-1
摸仙,2,33,7,3.646,2.742,1,0.058,BV1T4411w71C,单机游戏,4489926,212707,36335,6641,120270,13488,57687,568,-1
撑腰,2,18,6.6,2.745,3.503,2,0.157,BV1Nt411t7JY,鬼畜调教,1146094,64542,2472,3469,48042,8828,24345,108,-1
撒盐哥,3,190,7.4,4.983,3.109,1,1.338,BV1rs411w7h7,鬼畜调教,1697870,51722,24852,5303,69449,23454,48680,142,-1
撕破伤口丶,5,21,6.1,3.916,3.939,1,0.114,BV1Ua4y1v7up,人力VOCALOID,3008250,164276,9709,6745,38989,32884,28114,184,-1
撕破伤口,4,46,5.9,4.206,3.179,1,0.25,BV1Ua4y1v7up,人力VOCALOID,3008250,164276,9709,6745,38989,32884,28114,184,-1
擒月炎,3,20,7.1,3.339,3.884,1,0.206,BV1nW411p7u1,搞笑,2526029,42293,4615,1743,58254,25807,34824,97,-1
改邪归正,4,50,7.7,4.353,4.338,1,0.077,BV1oE411M74u,鬼畜剧场,5196024,379506,96416,5672,282652,97216,188102,651,-1
攻击,2,20,6.8,2.666,3.239,1,0.222,BV16k4y197aT,鬼畜调教,1531537,105585,3296,1876,68133,11761,49720,90,0
攻略,2,34,8.3,4.359,4.452,2,0.036,BV1zx411V7r2,单机游戏,4250731,138293,33322,2478,102181,13336,38768,884,-1
放下执着,4,20,7.4,2.039,2.139,1,0.083,BV1U441127NE,鬼畜调教,3416379,226168,18975,2862,135633,18993,111063,240,-1
