,W,Frequence,Mut,Freedom_L,Freedom_R,mark
192,吃鸡,6044,5.1,5.813,5.025,0
193,彳亍不,391,11.9,3.235,2.369,0
194,彳亍不彳亍,349,17.0,2.898,2.719,0
195,彳于,461,8.0,2.832,2.416,0
196,赤井秀一,310,12.9,3.87,3.506,0
197,冲鸭,2949,7.0,4.094,5.292,0
198,充电宝,300,7.6,4.194,3.869,0
199,瞅瞅,335,10.1,2.469,2.496,0
200,臭弟弟,497,10.0,4.263,5.031,0
201,出必还愿,3473,7.2,5.077,4.313,0
202,初音未来,828,10.3,3.664,3.302,0
203,除非忍不住,335,10.1,2.039,4.555,0
204,厨狂喜,1197,9.1,2.256,4.944,0
205,处处吻,283,10.1,3.978,4.516,0
206,处女币,1373,8.9,3.823,3.239,0
207,处女屏,259,7.2,3.778,3.35,0
208,处刑曲,1208,13.7,3.989,4.465,0
209,川建国,6457,12.5,2.022,4.74,0
210,穿越火线,469,6.3,4.789,4.845,0
211,传世经典,767,9.4,4.598,5.535,0
212,创造奇迹,737,13.2,3.075,3.885,0
213,吹爆,19561,7.2,4.71,3.929,0
214,锤爆,792,5.6,4.325,3.138,0
215,锤石,952,8.4,3.82,4.798,0
216,春季赛,677,12.3,4.571,4.345,0
217,春日野穹,635,9.2,3.743,3.581,0
218,纯路人,326,7.1,3.982,4.084,0
219,茨木,437,7.0,2.757,3.766,0
220,此生不悔入,1410,7.1,4.696,2.158,0
221,此生无悔二次元,1848,16.4,3.977,4.808,0
222,刺激战场,320,11.8,4.013,4.384,0
223,刺客信条,667,10.8,5.063,5.126,0
224,粗鄙之语,3806,17.9,5.135,5.539,0
225,猝死在意大利,403,16.3,2.477,2.585,0
226,催更,4682,7.9,2.622,2.775,0
227,摧毁停车场,4168,15.0,3.211,5.663,0
228,存活确认,684,9.6,3.649,3.153,0
229,措不及防,1352,9.8,2.603,3.248,0
230,妲己,1970,9.8,3.142,6.025,0
231,打call,3714,5.3,6.015,5.616,0
232,打到公屏上,270,6.3,2.555,3.324,0
233,打排位,610,5.7,4.126,5.344,0
234,打野刀,581,6.1,4.787,5.256,0
235,打职业,1001,10.1,4.147,4.288,0
236,大鹌鹑,298,11.8,4.164,5.263,0
237,大宝贝,704,5.8,3.154,5.236,0
238,大虫子,791,6.4,4.722,6.059,0
239,大法好,1267,6.4,5.22,4.836,0
240,大橘已定,955,8.0,3.827,5.023,0
241,大佬们,443,5.8,4.116,4.639,0
242,大师兄,1512,6.2,4.278,5.97,0
243,大碗宽面,317,5.4,3.185,4.083,0
244,大威天龙,5228,9.5,4.66,4.463,0
245,大乌龟,453,6.1,4.583,5.539,0
246,大制作,5964,10.3,4.133,4.751,0
247,逮虾户,4765,11.6,5.45,2.552,0
248,带节奏,1139,9.6,4.38,4.326,0
249,带善人,266,7.1,2.951,3.745,0
250,带制作,6676,11.4,4.288,4.843,0
251,单身狗,1716,9.7,4.135,4.351,0
252,淡黄的长裙,1095,19.9,3.843,3.079,0
253,弹幕高能,1183,11.3,2.958,3.732,0
254,弹幕合影,3134,12.3,2.855,5.327,0
255,弹幕护体,15585,13.9,5.553,6.223,0
256,弹幕护眼,1373,11.5,4.113,4.679,0
257,弹幕君,319,10.0,3.082,3.032,0
258,弹幕礼仪,1919,11.8,4.948,5.282,0
259,弹丸论破,532,8.4,4.743,4.595,0
260,蛋黄的长裙,272,15.4,2.811,2.993,0
261,蛋疼,258,6.8,2.983,3.71,0
262,当场去世,2929,8.8,4.136,5.874,0
263,刀剑神域,1791,6.0,5.557,5.894,0
264,盗视频,271,10.2,3.52,2.996,0
265,德国boy,297,7.2,3.14,3.218,0
266,德国骨科,307,7.2,3.789,3.868,0
267,德莱联盟,459,7.7,2.156,5.034,0
268,德莱文,2264,9.3,4.26,6.4,0
269,德丽莎,757,7.4,3.668,4.146,0
270,德玛西亚,5127,10.3,4.541,6.132,0
