Word,Num,Frequence,Mut,Freedom_L,Freedom_R,Rep,Den,mark
真秀,2,8,8.2,2.5,2.75,0.042553191,0.000220708,0
快走,2,8,7.9,2.406,2.5,0.021276596,0.000220708,0
得见,2,8,7.6,1.299,1.75,0.021276596,0.000220708,0
好猛,2,14,7.3,1.95,1.95,0.191489362,0.000220708,0
裤多,2,9,7.2,1.447,2.948,0.042553191,0.000220708,0
得可,2,8,6.9,2.156,1.811,0.021276596,0.000220708,0
和你,2,8,6.3,1.75,2.156,0.021276596,0.000220708,0
fo,2,9,5.9,2.948,2.642,0.021276596,0.000220708,0
方物,2,64,5.8,1.377,1.153,0.021276596,0.000220708,1
子真,2,9,5.6,1.753,2.642,0.021276596,0.000220708,0
冲刺,2,8,5.4,2.75,2.75,0.021276596,0.000220708,0
要给,2,8,5.2,1.299,2.406,0.021276596,0.000220708,0
对的,2,9,4.7,2.725,1.88,0.063829787,0.000220708,0
门宴,2,36,4.4,1.717,1.058,0.021276596,0.000220708,0
我服,2,8,4.1,2.5,1.299,0.021276596,0.000220708,0
还看,2,8,4.1,2.75,3,0.021276596,0.000220708,0
去看,2,8,4,3,3,0.021276596,0.000220708,0
赤膊,2,9,57470.4,2.948,2.642,0.021276596,0.000248296,1
肉蛋葱鸡,4,8,23650.4,2.75,2.75,0.021276596,0.000248296,1
蛤蛤,2,43,18154.1,1.404,1.404,0.191489362,0.000248296,1
先笑为敬,4,8,10135.9,2.75,3,0.021276596,0.000248296,1
滴滴,2,22,3888.8,1.048,1.048,0.170212766,0.000248296,1
巨象甩鞭,4,9,3359.9,3.17,3.17,0.021276596,0.000248296,0
盯着,2,9,2476.1,3.17,2.419,0.063829787,0.000248296,0
康康,2,8,1414.1,1.549,3,0.021276596,0.000248296,1
吕布,2,9,1335.4,2.197,2.419,0.021276596,0.000248296,0
地爆天星,4,9,1174.1,3.17,2.948,0.021276596,0.000248296,0
保持,2,9,1066.9,2.725,2.948,0.021276596,0.000248296,0
记住,2,10,697.3,3.122,2.046,0.063829787,0.000248296,0
苏维埃,3,8,513.7,3,2.75,0.021276596,0.000248296,0
别跑,2,9,275.9,1.224,2.281,0.021276596,0.000248296,0
简单,2,8,254.5,2,3,0.021276596,0.000248296,0
隐身,2,8,229.9,2.156,2.406,0.021276596,0.000248296,0
毁灭,2,8,167.1,2.75,3,0.021276596,0.000248296,0
给闹,2,9,153.8,2.419,2.948,0.021276596,0.000248296,0
老干妈,3,9,149.1,2.642,1.447,0.021276596,0.000248296,1
通过,2,8,146,2.75,3,0.021276596,0.000248296,0
很齐,2,8,137.6,2.5,3,0.021276596,0.000248296,0
所在,2,8,113.7,1.299,2.75,0.021276596,0.000248296,0
笑哭,2,9,95.8,2.642,2.197,0.021276596,0.000248296,0
真滴,2,8,89.2,2.75,2.5,0.021276596,0.000248296,0
刚才,2,9,78.1,3.17,1.658,0.021276596,0.000248296,0
扣门,2,8,66.1,1.061,1.299,0.021276596,0.000248296,0
币没了,3,8,61.5,1.406,2.75,0.021276596,0.000248296,0
到你了,3,8,48.3,1.75,2.406,0.021276596,0.000248296,0
佩因,2,8,48,2.75,2.25,0.063829787,0.000248296,0
去摸,2,9,40.9,2.059,2.948,0.021276596,0.000248296,0
近期作品,4,9,40.6,2.197,2.725,0.021276596,0.000248296,1
四次,2,9,40.4,1.224,2.642,0.021276596,0.000248296,0
秀秀,2,25,37.6,2.004,2.004,0.085106383,0.000248296,1
难道,2,9,32.8,2.725,2.725,0.021276596,0.000248296,0
令人,2,8,31.4,2.156,1.906,0.021276596,0.000248296,0
只看,2,8,30.7,2.75,2.5,0.021276596,0.000248296,0
我田,2,9,30.3,2.419,3.17,0.021276596,0.000248296,0
吐了,2,10,30.2,1.846,3.322,0.021276596,0.000248296,0
是神仙,3,8,29.7,1.061,3,0.021276596,0.000248296,0
都别,2,8,26.7,1.549,1.061,0.021276596,0.000248296,0
一万遍,3,8,20.3,1.75,3,0.021276596,0.000248296,0
涨的,2,9,19.7,1.447,2.642,0.021276596,0.000248296,0
晚年,2,8,19.6,3,1.061,0.021276596,0.000248296,0
影忍,2,11,19.4,1.539,1.278,0.021276596,0.000248296,0
高手,2,10,12.5,2.922,2.922,0.042553191,0.000248296,0
小帅,2,8,12.2,1.061,2.75,0.021276596,0.000248296,0
高速,2,8,11.5,2.406,2.156,0.042553191,0.000248296,0
我同,2,11,11.5,2.664,1.491,0.021276596,0.000248296,0
不然,2,8,11.4,1.061,2,0.021276596,0.000248296,0
着你,2,9,10.7,2.197,2.419,0.021276596,0.000248296,0
刚好,2,8,10.6,3,2.156,0.021276596,0.000248296,0
把门,2,9,10.2,1.658,1.658,0.021276596,0.000248296,0
jn,2,9,9.4,2.059,2.419,0.042553191,0.000248296,0
对上,2,8,8.8,2.75,2,0.021276596,0.000248296,0
三分,2,8,8.3,3,2.5,0.042553191,0.000248296,0
停止,2,9,7.8,2.642,2.281,0.021276596,0.000248296,0
剑舞,2,8,7.8,2.156,3,0.021276596,0.000248296,0
是陈,2,8,7.7,2.156,2.156,0.021276596,0.000248296,0
你弄,2,8,7.6,1.811,3,0.021276596,0.000248296,0
情八方,3,8,7,1.061,2.75,0.021276596,0.000248296,0
我是一,3,9,6.8,2.948,1.352,0.021276596,0.000248296,0
位真,2,15,6,1.563,2.005,0.021276596,0.000248296,0
你马,2,10,6,1.357,1.357,0.021276596,0.000248296,0
这味,2,8,5.9,1.299,2.75,0.021276596,0.000248296,0
了两,2,18,5.5,3.53,2.336,0.021276596,0.000248296,0
么笑,2,9,5.2,1.352,1.352,0.021276596,0.000248296,0
