num,score,类型
2500,0.847,train
2500,0.835,test
2510,0.847,train
2510,0.835,test
2520,0.847,train
2520,0.835,test
2530,0.847,train
2530,0.835,test
2540,0.847,train
2540,0.835,test
2550,0.847,train
2550,0.835,test
2560,0.847,train
2560,0.835,test
2570,0.847,train
2570,0.836,test
2580,0.847,train
2580,0.836,test
2590,0.847,train
2590,0.836,test
2600,0.847,train
2600,0.836,test
2610,0.847,train
2610,0.836,test
2620,0.848,train
2620,0.836,test
2630,0.847,train
2630,0.836,test
2640,0.847,train
2640,0.836,test
2650,0.848,train
2650,0.836,test
2660,0.847,train
2660,0.836,test
2670,0.847,train
2670,0.836,test
2680,0.847,train
2680,0.836,test
2690,0.847,train
2690,0.836,test
2700,0.847,train
2700,0.836,test
2710,0.847,train
2710,0.836,test
2720,0.847,train
2720,0.836,test
2730,0.847,train
2730,0.836,test
2740,0.847,train
2740,0.836,test
2750,0.847,train
2750,0.837,test
2760,0.847,train
2760,0.836,test
2770,0.847,train
2770,0.836,test
2780,0.847,train
2780,0.837,test
2790,0.847,train
2790,0.837,test
2800,0.848,train
2800,0.837,test
2810,0.848,train
2810,0.837,test
2820,0.848,train
2820,0.837,test
2830,0.848,train
2830,0.837,test
2840,0.848,train
2840,0.836,test
2850,0.848,train
2850,0.837,test
2860,0.847,train
2860,0.837,test
2870,0.848,train
2870,0.837,test
2880,0.848,train
2880,0.837,test
2890,0.847,train
2890,0.837,test
2900,0.848,train
2900,0.836,test
2910,0.848,train
2910,0.836,test
2920,0.848,train
2920,0.837,test
2930,0.849,train
2930,0.836,test
2940,0.848,train
2940,0.837,test
2950,0.848,train
2950,0.837,test
2960,0.849,train
2960,0.837,test
2970,0.849,train
2970,0.837,test
2980,0.848,train
2980,0.837,test
2990,0.848,train
2990,0.836,test
3000,0.849,train
3000,0.836,test
3010,0.848,train
3010,0.836,test
3020,0.848,train
3020,0.836,test
3030,0.848,train
3030,0.836,test
3040,0.848,train
3040,0.836,test
3050,0.848,train
3050,0.836,test
3060,0.848,train
3060,0.836,test
3070,0.849,train
3070,0.836,test
3080,0.849,train
3080,0.836,test
3090,0.849,train
3090,0.836,test
3100,0.849,train
3100,0.837,test
3110,0.849,train
3110,0.837,test
3120,0.849,train
3120,0.837,test
3130,0.85,train
3130,0.836,test
3140,0.85,train
3140,0.836,test
3150,0.85,train
3150,0.836,test
3160,0.849,train
3160,0.836,test
3170,0.849,train
3170,0.836,test
3180,0.848,train
3180,0.836,test
3190,0.849,train
3190,0.837,test
3200,0.849,train
3200,0.837,test
3210,0.849,train
3210,0.837,test
3220,0.849,train
3220,0.836,test
3230,0.849,train
3230,0.836,test
3240,0.849,train
3240,0.836,test
3250,0.849,train
3250,0.836,test
3260,0.849,train
3260,0.835,test
3270,0.849,train
3270,0.836,test
3280,0.849,train
3280,0.837,test
3290,0.849,train
3290,0.837,test
3300,0.85,train
3300,0.836,test
3310,0.85,train
3310,0.836,test
3320,0.85,train
3320,0.836,test
3330,0.849,train
3330,0.836,test
3340,0.85,train
3340,0.836,test
3350,0.849,train
3350,0.836,test
3360,0.849,train
3360,0.836,test
3370,0.849,train
3370,0.836,test
3380,0.849,train
3380,0.837,test
3390,0.849,train
3390,0.836,test
3400,0.849,train
3400,0.837,test
3410,0.849,train
3410,0.837,test
3420,0.849,train
3420,0.837,test
3430,0.849,train
3430,0.837,test
3440,0.85,train
3440,0.835,test
3450,0.851,train
3450,0.835,test
3460,0.85,train
3460,0.836,test
3470,0.849,train
3470,0.837,test
3480,0.85,train
3480,0.837,test
3490,0.849,train
3490,0.836,test
3500,0.85,train
3500,0.836,test
3510,0.85,train
3510,0.836,test
3520,0.85,train
3520,0.836,test
3530,0.849,train
3530,0.836,test
3540,0.849,train
3540,0.836,test
3550,0.849,train
3550,0.837,test
3560,0.849,train
3560,0.837,test
3570,0.849,train
3570,0.837,test
3580,0.849,train
3580,0.836,test
3590,0.849,train
3590,0.836,test
3600,0.849,train
3600,0.836,test
